Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
,1,,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,physostigmine,5983
,1,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,ferulic acid,445858
,1,,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,lamotrigine,3878
,1,,CC1=C(N(C(=C1)CC(=O)[O-])C)C(=O)C2=CC=C(C=C2)Cl.[Na+],"1H-Pyrrole-2-acetic acid, 5-(4-chlorobenzoyl)-1,4-dimethyl-, sodium salt",16220118
,1,,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,Levosulpiride,688272
,1,,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Dofetilide,71329
,1,,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,Tetracaine hydrochloride,8695
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,"7,8-dihydroxyflavone",1880
,1,,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC(=CC=C5)C(=O)O,KT203,53364510
,1,,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,minocycline,54675783
,1,,CN1C(=O)C2=C(NC1=O)N=CN2,1-Methylxanthine,80220
,1,,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O,Kanamycin A sulfate,441374
,1,,C(CCN=C(N)N)CN,agmatine,199
,1,,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,amlexanox,2161
,1,,CC1=C(N=C(C(=N1)C)C)C,"2,3,5,6-Tetramethylpyrazine",14296
,1,,CC1=CNC(=O)NC1=O,thymine,1135
,1,,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,cannabidiol,644019
,1,,C([C@@H](C(=O)O)N)[Se],SELENOCYSTEINE,6326983
,1,,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],cetylpyridinium chloride,31239
,1,,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC,Phosphatidylserine,9547096
,1,,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,Zolantidine dimaleate,11957725
,1,,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O,thapsigargin,446378
,1,,C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)C3=C(O1)C=C(C=C3)O,SAPPANONE A,9817274
,1,,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,Trilobatin,6451798
,1,,CC(=C)CCO,3-METHYL-3-BUTEN-1-OL,12988
,1,,C(C(=O)O)N,glycine,750
,1,,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,caffeic acid,689043
,1,,CN1C=NC2=C1C(=O)NC(=O)N2,7-Methylxanthine,68374
,1,,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,Nobiletin,72344
,1,,C1OC2=C(O1)C=C(C=C2)O,Sesamol,68289
,1,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,TETRACYCLINE HYDROCHLORIDE,54704426
,1,,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C,Astaxanthin,5281224
,1,,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,cytidine,6175
,1,,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,L-carnitine,10917
,1,,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,1257517-67-1,16218899
,1,,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,4-BIPHENYLACETIC ACID,3332
,1,,C1C(=O)NC2=C(C=C(C=C2)Cl)C(S1)C3=CC=CC=C3Cl,75450-34-9,2688
,1,,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],alsterpaullone,5005498
,1,,[Hf],HAFNIUM,23986
,1,,CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)C,1334474-30-4,5327011
,1,,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,wortmannin,312145
,1,,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,lovastatin,53232
,1,,COC1=CC=CC=C1C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4CC5=CC=CC=C5,1402612-56-9,53364485
,1,,CCCC(CCC)C(=O)O,VALPROIC ACID,3121
,1,,COC1=C(C=CC(=C1)C[C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H](CC3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Secoisolariciresinol diglucoside,9917980
,1,,C12=C(NC(=O)N1)NC(=O)NC2=O,uric acid,1175
,1,,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,Irosustat,5287541
,1,,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,liothyronine,5920
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2)C,paraxanthine,4687
,1,,C1=C(NC(=O)NC1=O)C(=O)[O-],orotate,1492348
,1,,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O)O)O,Chicoric acid,5281764
,1,,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O,Carnosic acid,65126
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,caffeine,2519
,1,,CN1C2=C(C(=O)N(C1=O)C)NC=N2,theophylline,2153
,1,,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,sesamin,72307
,1,,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,Rebaudioside A,6918840
,1,,CCCCCCCCCCCCCC1/C(=C/CCCCC(=O)N)/C(=O)O1,KC01,86289046
,1,,C(CS(=O)O)N,hypotaurine,107812
,1,,CCCCCCCC(=O)C1=CC(=C(C=C1)O)C(=O)O,5-Octanoylsalicylic acid,9838158
,1,,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,Metamizole,3111
,1,,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,estradiol valerate,13791
,1,,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,VERAPAMIL,2520
,1,,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,"2,5-Di-tert-butylhydroquinone",2374
,1,,CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O,carnosol,442009
,1,,C1=CC=C2C(=C1)C=NN=C2NN,hydralazine,3637
,1,,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,metolazone,4170
,1,,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O,Tectochrysin,5281954
,1,,C1(C(=O)NC(=O)N1)NC(=O)N,allantoin,204
,1,,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,anisomycin,253602
,1,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3,BIA 10-2639,66554294
,1,,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,naringin,442428
,1,,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,Tanespimycin,6505803
,1,,C([C@@H](C(=O)O)N)O,L-serine,5951
,1,,C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,radicicol,6323491
,1,,C1=CC(=CC=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O,Hispidol,5281254
,1,,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,5-azacytidine,9444
,1,,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,paxilline,105008
,1,,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,Olaparib,23725625
,1,,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,Rifampicin,135398735
,1,,C1=CC=C(C=C1)CCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4,Psora-4,6603977
,1,,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,rosmarinic acid,5281792
,0,,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,bithionol,2406
,0,,CCCCCC1C(=O)CCC1CC(=O)O,3572-64-3,107126
,0,,Cc1cc(=O)n(-c2ccccc2)n1C,antipyrine,2206
,0,,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,"2,4-Pentadien-1-one, 5-(1,3-benzodioxol-5-yl)-1-(1-piperidinyl)-, (2E,4E)-",4840
,0,,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,NSC26665,5351506
,0,,Nc1ccc(C(=O)O)cc1,4-aminobenzoic acid,978
,0,,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,fenbufen,3335
,0,,Nc1ccc(C(=O)O)c(O)c1,4-Aminosalicylic acid,4649
,0,,CS(=O)(=O)OCCCCOS(C)(=O)=O,busulfan,2478
,0,,CCCc1cc(C(N)=S)ccn1,Protionamide,666418
,0,,O=c1cc[nH]c(=S)[nH]1,2-thiouracil,1269845
,0,,CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C,PD034263,3485264
,0,,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1,117019-08-6,3129
,0,,CC[N+](CC)(CC)CC,Tetraethylammonium,5413
,0,,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,decamethonium,2968
,0,,Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21,dequalinium,2993
,0,,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,Pentolinium,5850
,0,,C[N+]1(C)CCN(c2ccccc2)CC1,Dimethylphenylpiperazinium,1316
,0,,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,ellipticine,3213
,0,,Cc1nccc2c1[nH]c1ccccc12,Harman,5281404
,0,,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,Ro 90-7501,824226
,0,,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,LE 300,4350931
,0,,CC(N)Cc1cnc[nH]1,alpha-Methylhistamine,3615
,0,,Cc1cn[nH]c1,4-Methylpyrazole,3406
,0,,CCCN1CCCC2Cc3[nH]ncc3CC21,"5-propyl-1,4,4a,6,7,8,8a,9-octahydropyrazolo[3,4-g]quinoline",1257
,0,,CC1(C)CCC=[N+]1[O-],3317-61-1,1774
,0,,C[N+](C)(C)CC=O,betaine aldehyde,249
,0,,O=C1OC(=CBr)CCC1c1cccc2ccccc12,144298-62-4,2445
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,"5-(2-bromoethenyl)-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",3183
,0,,CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O,SCHEMBL21122194,4033774
,0,,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",2443
,0,,O=[N+]([O-])c1cccc2c(Br)[nH]nc12,3-bromo-7-nitroindazole,1649
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,MLS002702842,236184
,0,,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,"2-Dimethylamino-4,5,6,7-tetrabromo-1H-benzimidazole",5326976
,0,,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,TETRABROMO-2-BENZOTRIAZOLE,1694
,0,,CC(N)CN1CCc2ccc(Br)cc21,SCHEMBL905755,18735337
,0,,O=c1onc2n1-c1cc(Br)ccc1OC2,ns 2028,4551
,0,,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,6-BROMOINDIRUBIN-3'-OXIME,448949
,0,,Brc1ccc(C2CN3CCSC3=N2)cc1,"6-(4-bromophenyl)-2H,3H,5H,6H-imidazo[2,1-b][1,3]thiazole",5121
,0,,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,DTXSID80860705,41987
,0,,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,N-[2-[3-(4-bromophenyl)prop-2-enylamino]ethyl]isoquinoline-5-sulfonamide,3541
,0,,CC[N+](C)(C)Cc1ccccc1Br,Bretylium,2431
,0,,CCN(CCCl)Cc1ccccc1Br,DSP 4,3172
,0,,Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1,CHEBI:93924,135526720
,0,,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,"Adenosine, 8-bromo-, cyclic 3',5'-(hydrogen phosphate)",1913
,0,,C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1,Bromoacetyl alprenolol menthane,73153244
,0,,C[N+](C)(C)CCOC(=O)CBr,2-Bromoacetylcholine,204966
,0,,CC(=O)NBr,n-bromoacetamide,4353
,0,,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,Clodronic Acid,25419
,0,,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,Cefaclor Impurity C,2609
,0,,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,Ciprofibrate,2763
,0,,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12,CB 34,6603782
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,"Pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11.beta.,16.beta.)-",2308
,0,,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,lamotrigine,3878
,0,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,felodipine,3333
,0,,CC(N)c1cccc(Cl)c1Cl,39226-94-3,1215
,0,,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,NBI 27914,176157
,0,,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,meclofenamic acid,4037
,0,,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,IAA-94,3667
,0,,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,Dioa-acid,5017
,0,,O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,[3H]MDL105519,4023
,0,,CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1,SKF 83565 hydrobromide,9819203
,0,,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,"5,7-Dichlorokynurenic acid",1779
,0,,CN1CCc2cccc(Cl)c2CC1,benalfocin,123981
,0,,CC1C(=O)NC2=Nc3cccc(Cl)c3CN21,Dazonone,135511466
,0,,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,SCHEMBL3178,5651
,0,,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,niclosamide,4477
,0,,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,UNII-JO67EL43YO,4022
,0,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,glyburide,3488
,0,,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,metoclopramide,4168
,0,,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,2-(Diethylamino)ethyl 4-amino-5-chloro-2-methoxybenzoate,5191
,0,,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,ML 10302,5311299
,0,,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,SB 204070 hydrochloride,121881
,0,,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,"3-Tropanyl-3,5-dichlorobenzoate",1683
,0,,CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,Chloroethylclonidine,104973
,0,,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O,CHEMBL4871669,11957544
,0,,CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1,CL 316243 disodium salt,4281355
,0,,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1,114333-71-0,2437
,0,,Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O,SCHEMBL537055,1902
,0,,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,bupropion,444
,0,,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CHEMBL296602,3703
,0,,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,140631-53-4,5203
,0,,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,Lorglumide,3960
,0,,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N,"3',4'-Dichlorobenzamil",114771
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1,Ici 204448,3683
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1,CHEMBL118865,5620
,0,,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,GR-89696,3505
,0,,O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1,AC-915,5236783
,0,,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,"3,5-dichloro-N-[(1-ethylpyrrolidin-2-yl)methyl]-2-hydroxy-6-methoxybenzamide",5118
,0,,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1,SCHEMBL11216504,20519365
,0,,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,280744-09-4,176158
,0,,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,Calmidazolium,2531
,0,,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,Clorgiline,4380
,0,,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,tcpobop,5382
,0,,Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,19348-53-9,6603717
,0,,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,PQ401,9549305
,0,,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,264218-23-7,4210951
,0,,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,"2-N-(2-aminocyclohexyl)-6-N-(3-chlorophenyl)-9-ethylpurine-2,6-diamine",4644095
,0,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,furosemide,3440
,0,,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,Cgs 15943,2690
,0,,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,"7-chloro-3-methyl-1-phenyl-1,2,4,5-tetrahydro-3-benzazepin-8-ol",5018
,0,,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,clomipramine,2801
,0,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,chlorpromazine,2726
,0,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,prochlorperazine,4917
,0,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,perphenazine,4748
,0,,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,DCEBIO,656765
,0,,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,SC 19220,4336830
,0,,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2,SB-215505,10449757
,0,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,metolazone,4170
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,cyclothiazide,2910
,0,,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O,"2-(5,6-dichloro-1H-benzimidazol-2-yl)-5-(hydroxymethyl)oxolane-3,4-diol",73153251
,0,,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,7-Chlorokynurenic acid,1884
,0,,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O,25983-13-5,1845
,0,,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,DTXSID00162016,54682505
,0,,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,domperidone,3151
,0,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,clozapine,135398737
,0,,O=c1[nH]c2cc(Cl)ccc2o1,chlorzoxazone,2733
,0,,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,157435-10-4,148183
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,chlorothiazide,2720
,0,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,chloroquine,2719
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,hydrochlorothiazide,3639
,0,,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,diazoxide,3019
,0,,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O,MRS 2211 sodium salt hydrate,135405867
,0,,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,GW9662,644213
,0,,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,188817-13-2,4306515
,0,,O=C(O)C=CC(O)c1ccc(Cl)cc1,"2-Butenoic acid, 4-(4-chlorophenyl)-4-hydroxy-",3327269
,0,,NCC(CC(=O)O)c1ccc(Cl)cc1,baclofen,2284
,0,,NCC(CP(=O)(O)O)c1ccc(Cl)cc1,Phaclofen,1641
,0,,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,chlormezanone,2717
,0,,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,N-(3-methoxyphenyl)-4-chlorocinnamanilide,4099413
,0,,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1,N-(1-azabicyclo[2.2.2]oct-3-yl)-4-chlorobenzamide,4655349
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,indomethacin,3715
,0,,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,2-Hydroxysaclofen,1564
,0,,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,Meclastine,2781
,0,,NC(Cc1ccc(Cl)cc1)C(=O)O,Fenclonine,4652
,0,,COC(=O)C(N)Cc1ccc(Cl)cc1,Methyl 2-amino-3-(4-chlorophenyl)propanoate,26532
