PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Download_URL,Download_Status,PDF_Filename,Error_Message
30178731,Killed Bifidobacterium longum enhanced stress tolerance and prolonged life span of Caenorhabditis elegans via DAF-16,"Sugawara T, Sakamoto K.",Br J Nutr. 2018 Oct;120(8):872-880. doi: 10.1017/S0007114518001563. Epub 2018 Sep 4.,Sugawara T,Br J Nutr,2018,2018/9/5,,,10.1017/S0007114518001563,,Success,PMID30178731.pdf,
39478327,The impact of cysteine on lifespan in three model organisms: A systematic review and meta-analysis,"Ma Y, Chen M, Huang K, Chang W.",Aging Cell. 2025 Feb;24(2):e14392. doi: 10.1111/acel.14392. Epub 2024 Oct 30.,Ma Y,Aging Cell,2025,2024/10/31,PMC11822635,,10.1111/acel.14392,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ad/5e/PMC11822635.tar.gz,Match Found,,
23625218,Lactobacillus salivarius strain FDB89 induced longevity in Caenorhabditis elegans by dietary restriction,"Zhao Y, Zhao L, Zheng X, Fu T, Guo H, Ren F.",J Microbiol. 2013 Apr;51(2):183-8. doi: 10.1007/s12275-013-2076-2. Epub 2013 Apr 27.,Zhao Y,J Microbiol,2013,2013/4/30,,,10.1007/s12275-013-2076-2,,Success,PMID23625218.pdf,
34037943,"Weissella confusa CGMCC 19,308 Strain Protects Against Oxidative Stress, Increases Lifespan, and Bacterial Disease Resistance in Caenorhabditis elegans","Wang W, Li S, Heng X, Chu W.",Probiotics Antimicrob Proteins. 2022 Feb;14(1):121-129. doi: 10.1007/s12602-021-09799-z. Epub 2021 May 26.,Wang W,Probiotics Antimicrob Proteins,2022,2021/5/26,,,10.1007/s12602-021-09799-z,,Success,PMID34037943.pdf,
29152127,Minocycline treatment increases resistance to oxidative stress and extends lifespan in Drosophila via FOXO,"Lee GJ, Lim JJ, Hyun S.",Oncotarget. 2017 Sep 23;8(50):87878-87890. doi: 10.18632/oncotarget.21224. eCollection 2017 Oct 20.,Lee GJ,Oncotarget,2017,2017/11/21,PMC5675679,,10.18632/oncotarget.21224,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/8c/51/PMC5675679.tar.gz,Match Found,,
37121419,"Angelica sinensis polysaccharide extends lifespan and ameliorates aging-related diseases via insulin and TOR signaling pathways, and antioxidant ability in Drosophila","Tuo W, Wang S, Shi Y, Cao W, Liu Y, Su Y, Xiu M, He J.",Int J Biol Macromol. 2023 Jun 30;241:124639. doi: 10.1016/j.ijbiomac.2023.124639. Epub 2023 Apr 28.,Tuo W,Int J Biol Macromol,2023,2023/4/30,,,10.1016/j.ijbiomac.2023.124639,,Failed,,No download link found: 10.1016/j.ijbiomac.2023.124639
26710940,Effects and mechanisms of prolongevity induced by Lactobacillus gasseri SBT2055 in Caenorhabditis elegans,"Nakagawa H, Shiozaki T, Kobatake E, Hosoya T, Moriya T, Sakai F, Taru H, Miyazaki T.",Aging Cell. 2016 Apr;15(2):227-36. doi: 10.1111/acel.12431. Epub 2015 Dec 29.,Nakagawa H,Aging Cell,2016,2015/12/30,PMC4783334,,10.1111/acel.12431,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/3a/b5/PMC4783334.tar.gz,Match Found,,
35681084,Molecular mechanisms of exceptional lifespan increase of Drosophila melanogaster with different genotypes after combinations of pro-longevity interventions,"Shaposhnikov MV, Guvatova ZG, Zemskaya NV, Koval LA, Schegoleva EV, Gorbunova AA, Golubev DA, Pakshina NR, Ulyasheva NS, Solovev IA, Bobrovskikh MA, Gruntenko NE, Menshanov PN, Krasnov GS, Kudryavseva AV, Moskalev AA.",Commun Biol. 2022 Jun 9;5(1):566. doi: 10.1038/s42003-022-03524-4.,Shaposhnikov MV,Commun Biol,2022,2022/6/10,PMC9184560,,10.1038/s42003-022-03524-4,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/4a/cb/PMC9184560.tar.gz,Match Found,,
34629046,Eugenol Elicits Prolongevity by Increasing Resistance to Oxidative Stress in C. elegans,"Parween N, Jabeen A, Prasad B.",CNS Neurol Disord Drug Targets. 2022;21(9):841-853. doi: 10.2174/1871527320666211008150347.,Parween N,CNS Neurol Disord Drug Targets,2022,2021/10/11,,,10.2174/1871527320666211008150347,,Failed,,No download link found: 10.2174/1871527320666211008150347
38915593,fmo-4 promotes longevity and stress resistance via ER to mitochondria calcium regulation in C. elegans,"Tuckowski AM, Beydoun S, Kitto ES, Bhat A, Howington MB, Sridhar A, Bhandari M, Chambers K, Leiser SF.",bioRxiv [Preprint]. 2024 Nov 12:2024.05.17.594584. doi: 10.1101/2024.05.17.594584.,Tuckowski AM,bioRxiv,2024,2024/6/25,PMC11195083,,10.1101/2024.05.17.594584,,Failed,,No download link found: 10.1101/2024.05.17.594584
26433219,Acacetin 7-O-α-l-rhamnopyranosyl (1-2) β-D-xylopyranoside Elicits Life-span Extension and Stress Resistance in Caenorhabditis elegans,"Asthana J, Yadav D, Pant A, Yadav AK, Gupta MM, Pandey R.",J Gerontol A Biol Sci Med Sci. 2016 Sep;71(9):1160-8. doi: 10.1093/gerona/glv173. Epub 2015 Oct 3.,Asthana J,J Gerontol A Biol Sci Med Sci,2016,2015/10/4,,,10.1093/gerona/glv173,,Success,PMID26433219.pdf,
35928947,Immobilization of Superoxide Dismutase in Mesoporous Silica and its Applications in Strengthening the Lifespan and Healthspan of Caenorhabditis elegans,"Yang Y, Wang W, Liu K, Zhao J.",Front Bioeng Biotechnol. 2022 Jul 19;10:795620. doi: 10.3389/fbioe.2022.795620. eCollection 2022.,Yang Y,Front Bioeng Biotechnol,2022,2022/8/5,PMC9343863,,10.3389/fbioe.2022.795620,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/95/c9/PMC9343863.tar.gz,Match Found,,
24556924,Lifespan extension and cancer prevention in HER-2/neu transgenic mice treated with low intermittent doses of rapamycin,"Popovich IG, Anisimov VN, Zabezhinski MA, Semenchenko AV, Tyndyk ML, Yurova MN, Blagosklonny MV.",Cancer Biol Ther. 2014 May;15(5):586-92. doi: 10.4161/cbt.28164. Epub 2014 Feb 20.,Popovich IG,Cancer Biol Ther,2014,2014/2/22,PMC4026081,,10.4161/cbt.28164,,Success,PMID24556924.pdf,
30773781,KIN-4/MAST kinase promotes PTEN-mediated longevity of Caenorhabditis elegans via binding through a PDZ domain,"An SWA, Choi ES, Hwang W, Son HG, Yang JS, Seo K, Nam HJ, Nguyen NTH, Kim EJE, Suh BK, Kim Y, Nakano S, Ryu Y, Man Ha C, Mori I, Park SK, Yoo JY, Kim S, Lee SV.",Aging Cell. 2019 Jun;18(3):e12906. doi: 10.1111/acel.12906. Epub 2019 Feb 17.,An SWA,Aging Cell,2019,2019/2/19,PMC6516182,,10.1111/acel.12906,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c4/50/PMC6516182.tar.gz,Match Found,,
39856887,L-Theanine Extends the Lifespan of Caenorhabditis elegans by Reducing the End Products of Advanced Glycosylation,"Huang Z, Jing H, Pan Y, Cai H, Zhang W, Zhu J, Zhang N, Wu D, Xu W, Qiu H, Bao H, Li G, Ning J, Xian B, Gao S.",Foods. 2025 Jan 13;14(2):221. doi: 10.3390/foods14020221.,Huang Z,Foods,2025,2025/1/25,PMC11764849,,10.3390/foods14020221,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/e7/PMC11764849.tar.gz,Match Found,,
23523941,Lifespan extension by n-butanol extract from seed of Platycladus orientalis in Caenorhabditis elegans,"Liu H, Liang F, Su W, Wang N, Lv M, Li P, Pei Z, Zhang Y, Xie XQ, Wang L, Wang Y.",J Ethnopharmacol. 2013 May 20;147(2):366-72. doi: 10.1016/j.jep.2013.03.019. Epub 2013 Mar 21.,Liu H,J Ethnopharmacol,2013,2013/3/26,,,10.1016/j.jep.2013.03.019,,Success,PMID23523941.pdf,
36822487,Zhuyeqing liquor promotes longevity through enhancing stress resistance via regulation of SKN-1 and HSF-1 transcription factors in Caenorhabditis elegans,"Cui X, Zhang B, Li Z, Li C, Li J.",Exp Gerontol. 2023 Apr;174:112131. doi: 10.1016/j.exger.2023.112131. Epub 2023 Mar 8.,Cui X,Exp Gerontol,2023,2023/2/23,,,10.1016/j.exger.2023.112131,,Failed,,No download link found: 10.1016/j.exger.2023.112131
28351383,Diverse interventions that extend mouse lifespan suppress shared age-associated epigenetic changes at critical gene regulatory regions,"Cole JJ, Robertson NA, Rather MI, Thomson JP, McBryan T, Sproul D, Wang T, Brock C, Clark W, Ideker T, Meehan RR, Miller RA, Brown-Borg HM, Adams PD.",Genome Biol. 2017 Mar 28;18(1):58. doi: 10.1186/s13059-017-1185-3.,Cole JJ,Genome Biol,2017,2017/3/30,PMC5370462,,10.1186/s13059-017-1185-3,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/5c/72/PMC5370462.tar.gz,Match Found,,
39824422,Antioxidant and anti-aging activities of Acanthopanax senticosus polysaccharide CQ-1 in nematode Caenorhabditis elegans,"Bai X, Wang M, Xu T, Zhou S, Chu W.",Int J Biol Macromol. 2025 Mar;297:139925. doi: 10.1016/j.ijbiomac.2025.139925. Epub 2025 Jan 15.,Bai X,Int J Biol Macromol,2025,2025/1/17,,,10.1016/j.ijbiomac.2025.139925,,Failed,,No download link found: 10.1016/j.ijbiomac.2025.139925
23941528,SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,"Mercken EM, Hu J, Krzysik-Walker S, Wei M, Li Y, McBurney MW, de Cabo R, Longo VD.",Aging Cell. 2014 Feb;13(1):193-6. doi: 10.1111/acel.12151. Epub 2013 Nov 19.,Mercken EM,Aging Cell,2014,2013/8/15,PMC3907112,NIHMS518331,10.1111/acel.12151,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/82/d4/PMC3907112.tar.gz,Match Found,,
22561170,Anti-aging effects of deuterium depletion on Mn-induced toxicity in a C. elegans model,"Avila DS, Somlyai G, Somlyai I, Aschner M.",Toxicol Lett. 2012 Jun 20;211(3):319-24. doi: 10.1016/j.toxlet.2012.04.014. Epub 2012 Apr 26.,Avila DS,Toxicol Lett,2012,2012/5/8,PMC4917383,NIHMS795477,10.1016/j.toxlet.2012.04.014,,Success,PMID22561170.pdf,
29421048,Physicochemical characterization of polysaccharides from Chlorella pyrenoidosa and its anti-ageing effects in Drosophila melanogaster,"Chen Y, Liu X, Wu L, Tong A, Zhao L, Liu B, Zhao C.",Carbohydr Polym. 2018 Apr 1;185:120-126. doi: 10.1016/j.carbpol.2017.12.077. Epub 2018 Jan 5.,Chen Y,Carbohydr Polym,2018,2018/2/9,,,10.1016/j.carbpol.2017.12.077,,Success,PMID29421048.pdf,
36200601,Chili-supplemented food decreases glutathione-S-transferase activity in Drosophila melanogaster females without a change in other parameters of antioxidant system,"Semaniuk UV, Gospodaryov DV, Strilbytska OM, Kucharska AZ, Sokół-Łętowska A, Burdyliuk NI, Storey KB, Bayliak MM, Lushchak O.",Redox Rep. 2022 Dec;27(1):221-229. doi: 10.1080/13510002.2022.2123884.,Semaniuk UV,Redox Rep,2022,2022/10/6,PMC9553170,,10.1080/13510002.2022.2123884,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/13/f8/PMC9553170.tar.gz,Match Found,,
20188216,Protein kinase A signaling as an anti-aging target,"Enns LC, Ladiges W.",Ageing Res Rev. 2010 Jul;9(3):269-72. doi: 10.1016/j.arr.2010.02.004. Epub 2010 Feb 24.,Enns LC,Ageing Res Rev,2010,2010/3/2,,,10.1016/j.arr.2010.02.004,,Success,PMID20188216.pdf,
32229205,"Anti-aging effects on Caenorhabditis elegans of a polysaccharide, O-acetyl glucomannan, from roots of Lilium davidii var. unicolor Cotton","Hui H, Xin A, Cui H, Jin H, Yang X, Liu H, Qin B.",Int J Biol Macromol. 2020 Jul 15;155:846-852. doi: 10.1016/j.ijbiomac.2020.03.206. Epub 2020 Mar 27.,Hui H,Int J Biol Macromol,2020,2020/4/2,,,10.1016/j.ijbiomac.2020.03.206,,Success,PMID32229205.pdf,
31497263,Evaluation of the pharmacokinetics of metformin and acarbose in the common marmoset,"Fernandez E, Ross C, Liang H, Javors M, Tardif S, Salmon AB.",Pathobiol Aging Age Relat Dis. 2019 Aug 22;9(1):1657756. doi: 10.1080/20010001.2019.1657756. eCollection 2019.,Fernandez E,Pathobiol Aging Age Relat Dis,2019,2019/9/10,PMC6719263,,10.1080/20010001.2019.1657756,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/54/80/PMC6719263.tar.gz,Match Found,,
24439372,PGRP-SC2 promotes gut immune homeostasis to limit commensal dysbiosis and extend lifespan,"Guo L, Karpac J, Tran SL, Jasper H.",Cell. 2014 Jan 16;156(1-2):109-22. doi: 10.1016/j.cell.2013.12.018.,Guo L,Cell,2014,2014/1/21,PMC3928474,NIHMS552129,10.1016/j.cell.2013.12.018,,Success,PMID24439372.pdf,
36120300,"Model yeast as a versatile tool to examine the antioxidant and anti-ageing potential of flavonoids, extracted from medicinal plants","Zahoor H, Watchaputi K, Hata J, Pabuprapap W, Suksamrarn A, Chua LS, Soontorngun N.",Front Pharmacol. 2022 Sep 2;13:980066. doi: 10.3389/fphar.2022.980066. eCollection 2022.,Zahoor H,Front Pharmacol,2022,2022/9/19,PMC9479101,,10.3389/fphar.2022.980066,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/28/91/PMC9479101.tar.gz,Match Found,,
25456844,"Methyl 3,4-dihydroxybenzoate extends the lifespan of Caenorhabditis elegans, partly via W06A7.4 gene","Zhang W, Cai L, Geng HJ, Su CF, Yan L, Wang JH, Gao Q, Luo HM.",Exp Gerontol. 2014 Dec;60:108-16. doi: 10.1016/j.exger.2014.10.007. Epub 2014 Oct 16.,Zhang W,Exp Gerontol,2014,2014/12/3,,,10.1016/j.exger.2014.10.007,,Success,PMID25456844.pdf,
33171300,Clove essential oil confers antioxidant activity and lifespan extension in C. elegans via the DAF-16/FOXO transcription factor,"Zhang L, Gu B, Wang Y.",Comp Biochem Physiol C Toxicol Pharmacol. 2021 Apr;242:108938. doi: 10.1016/j.cbpc.2020.108938. Epub 2020 Nov 7.,Zhang L,Comp Biochem Physiol C Toxicol Pharmacol,2021,2020/11/10,,,10.1016/j.cbpc.2020.108938,,Success,PMID33171300.pdf,
35842943,Chili pepper extends lifespan in a concentration-dependent manner and confers cold resistance on Drosophila melanogaster cohorts by influencing specific metabolic pathways,"Semaniuk UV, Gospodaryov DV, Strilbytska OM, Kucharska AZ, Sokół-Łętowska A, Burdyliuk NI, Storey KB, Bayliak MM, Lushchak O.",Food Funct. 2022 Aug 1;13(15):8313-8328. doi: 10.1039/d2fo00930g.,Semaniuk UV,Food Funct,2022,2022/7/17,,,10.1039/d2fo00930g,,Failed,,No download link found: 10.1039/d2fo00930g
36581039,Cremastra appendiculata polysaccharides improve stress resistance and prolong the lifespan of Caenorhabditis elegans via daf-16 in the insulin signaling pathway,"Wang Q, Wu J, Huang J, Yang L, Tao J, Nie J, Zhao J, Wang YN.",Int J Biol Macromol. 2023 Feb 28;229:496-506. doi: 10.1016/j.ijbiomac.2022.12.234. Epub 2022 Dec 26.,Wang Q,Int J Biol Macromol,2023,2022/12/29,,,10.1016/j.ijbiomac.2022.12.234,,Failed,,No download link found: 10.1016/j.ijbiomac.2022.12.234
31672931,Extension of Drosophila lifespan by Korean red ginseng through a mechanism dependent on dSir2 and insulin/IGF-1 signaling,"Lee SH, Lee HY, Yu M, Yeom E, Lee JH, Yoon A, Lee KS, Min KJ.",Aging (Albany NY). 2019 Oct 31;11(21):9369-9387. doi: 10.18632/aging.102387. Epub 2019 Oct 31.,Lee SH,Aging (Albany NY),2019,2019/11/2,PMC6874434,,10.18632/aging.102387,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/dd/89/PMC6874434.tar.gz,Match Found,,
17129215,Trade-offs between longevity and pathogen resistance in Drosophila melanogaster are mediated by NFkappaB signaling,"Libert S, Chao Y, Chu X, Pletcher SD.",Aging Cell. 2006 Dec;5(6):533-43. doi: 10.1111/j.1474-9726.2006.00251.x.,Libert S,Aging Cell,2006,2006/11/30,,,10.1111/j.1474-9726.2006.00251.x,,Success,PMID17129215.pdf,
40383333,Antioxidant and anti-aging effect of queen bee larvae (Apis mellifera) protein hydrolysates in Drosophila melanogaster,"Pang L, Wang D, Liu H, Zhang M, Yang X, Lu Q, Liu R.",Int J Biol Macromol. 2025 Jul;318(Pt 3):144306. doi: 10.1016/j.ijbiomac.2025.144306. Epub 2025 May 16.,Pang L,Int J Biol Macromol,2025,2025/5/18,,,10.1016/j.ijbiomac.2025.144306,,Failed,,No download link found: 10.1016/j.ijbiomac.2025.144306
40849548,Jingfang granule extends lifespan and healthspan in Caenorhabditis elegans: insights from RNA-seq analysis of genetic mechanisms,"Zhao T, Hou Y, Feng C, Zhao R, Li H, Zhao P, Wang M, Ren J, Meng Y, Xu K, Liu J, Yin X, Zhang G, Yao J, Xia X.",Biogerontology. 2025 Aug 23;26(5):168. doi: 10.1007/s10522-025-10311-1.,Zhao T,Biogerontology,2025,2025/8/23,,,10.1007/s10522-025-10311-1,,Failed,,No download link found: 10.1007/s10522-025-10311-1
24835194,Beta-caryophyllene modulates expression of stress response genes and mediates longevity in Caenorhabditis elegans,"Pant A, Mishra V, Saikia SK, Shukla V, Asthana J, Akhoon BA, Pandey R.",Exp Gerontol. 2014 Sep;57:81-95. doi: 10.1016/j.exger.2014.05.007. Epub 2014 May 15.,Pant A,Exp Gerontol,2014,2014/5/20,,,10.1016/j.exger.2014.05.007,,Success,PMID24835194.pdf,
39585500,Public alignment with longevity biotechnology: an analysis of framing in surveys and opinion studies,Aparicio A.,Biogerontology. 2024 Nov 25;26(1):13. doi: 10.1007/s10522-024-10157-z.,Aparicio A,Biogerontology,2024,2024/11/25,,,10.1007/s10522-024-10157-z,,Failed,,No download link found: 10.1007/s10522-024-10157-z
23925298,The TFEB orthologue HLH-30 regulates autophagy and modulates longevity in Caenorhabditis elegans,"Lapierre LR, De Magalhaes Filho CD, McQuary PR, Chu CC, Visvikis O, Chang JT, Gelino S, Ong B, Davis AE, Irazoqui JE, Dillin A, Hansen M.",Nat Commun. 2013;4:2267. doi: 10.1038/ncomms3267.,Lapierre LR,Nat Commun,2013,2013/8/9,PMC3866206,NIHMS534805,10.1038/ncomms3267,,Success,PMID23925298.pdf,
22864793,The longevity effect of cranberry extract in Caenorhabditis elegans is modulated by daf-16 and osr-1,"Guha S, Cao M, Kane RM, Savino AM, Zou S, Dong Y.",Age (Dordr). 2013 Oct;35(5):1559-74. doi: 10.1007/s11357-012-9459-x. Epub 2012 Aug 4.,Guha S,Age (Dordr),2013,2012/8/7,PMC3776105,,10.1007/s11357-012-9459-x,,Success,PMID22864793.pdf,
24337961,Korean mistletoe (Viscum album coloratum) extract extends the lifespan of nematodes and fruit flies,"Lee SH, An HS, Jung YW, Lee EJ, Lee HY, Choi ES, An SW, Son H, Lee SJ, Kim JB, Min KJ.",Biogerontology. 2014 Apr;15(2):153-64. doi: 10.1007/s10522-013-9487-7. Epub 2013 Dec 14.,Lee SH,Biogerontology,2014,2013/12/17,,,10.1007/s10522-013-9487-7,,Success,PMID24337961.pdf,
33613975,Lantana camara ethanolic leaves extracts exhibit anti-aging properties in Drosophila melanogaster: survival-rate and life span studies,"Etuh MA, Ohemu LT, Pam DD.",Toxicol Res (Camb). 2021 Jan 12;10(1):79-83. doi: 10.1093/toxres/tfaa098. eCollection 2021 Jan.,Etuh MA,Toxicol Res (Camb),2021,2021/2/22,PMC7885186,,10.1093/toxres/tfaa098,,Success,PMID33613975.pdf,
25976661,The natural phytochemical dehydroabietic acid is an anti-aging reagent that mediates the direct activation of SIRT1,"Kim J, Kang YG, Lee JY, Choi DH, Cho YU, Shin JM, Park JS, Lee JH, Kim WG, Seo DB, Lee TR, Miyamoto Y, No KT.",Mol Cell Endocrinol. 2015 Sep 5;412:216-25. doi: 10.1016/j.mce.2015.05.006. Epub 2015 May 11.,Kim J,Mol Cell Endocrinol,2015,2015/5/16,,,10.1016/j.mce.2015.05.006,,Success,PMID25976661.pdf,
40466506,Hickory nut polyphenols enhance oxidative stress resilience and improve the longevity of Caenorhabditis elegans through modulating DAF-16/DAF-2 insulin/IGF-1 signaling,"Wang S, Jiang C, Yu S, Fan Q, Yang K, Huang J, Li Y.",Phytomedicine. 2025 Jul 25;143:156918. doi: 10.1016/j.phymed.2025.156918. Epub 2025 May 27.,Wang S,Phytomedicine,2025,2025/6/4,,,10.1016/j.phymed.2025.156918,,Failed,,No download link found: 10.1016/j.phymed.2025.156918
22107964,Rapamycin increases lifespan and inhibits spontaneous tumorigenesis in inbred female mice,"Anisimov VN, Zabezhinski MA, Popovich IG, Piskunova TS, Semenchenko AV, Tyndyk ML, Yurova MN, Rosenfeld SV, Blagosklonny MV.",Cell Cycle. 2011 Dec 15;10(24):4230-6. doi: 10.4161/cc.10.24.18486. Epub 2011 Dec 15.,Anisimov VN,Cell Cycle,2011,2011/11/24,,,10.4161/cc.10.24.18486,,Success,PMID22107964.pdf,
15126388,Saccharomyces cerevisiae SSD1-V confers longevity by a Sir2p-independent mechanism,"Kaeberlein M, Andalis AA, Liszt GB, Fink GR, Guarente L.",Genetics. 2004 Apr;166(4):1661-72. doi: 10.1534/genetics.166.4.1661.,Kaeberlein M,Genetics,2004,2004/5/6,PMC1470832,,10.1534/genetics.166.4.1661,,Success,PMID15126388.pdf,
29414672,Recombinant buckwheat glutaredoxin intake increases lifespan and stress resistance via hsf-1 upregulation in Caenorhabditis elegans,"Li F, Ma X, Cui X, Li J, Wang Z.",Exp Gerontol. 2018 Apr;104:86-97. doi: 10.1016/j.exger.2018.01.028. Epub 2018 Feb 4.,Li F,Exp Gerontol,2018,2018/2/8,,,10.1016/j.exger.2018.01.028,,Success,PMID29414672.pdf,
36549628,Black rice anthocyanin extract enhances the antioxidant capacity in PC12 cells and improves the lifespan by activating IIS pathway in Caenorhabditis elegans,"Li X, Wang X, Wang K, Yang X, Liu X, Chen J, Li J, Wang J, Guo Q, Wang H.",Comp Biochem Physiol C Toxicol Pharmacol. 2023 Mar;265:109533. doi: 10.1016/j.cbpc.2022.109533. Epub 2022 Dec 20.,Li X,Comp Biochem Physiol C Toxicol Pharmacol,2023,2022/12/22,,,10.1016/j.cbpc.2022.109533,,Failed,,No download link found: 10.1016/j.cbpc.2022.109533
23055713,"Geroprotectors as a novel therapeutic strategy for COPD, an accelerating aging disease","Ito K, Colley T, Mercado N.",Int J Chron Obstruct Pulmon Dis. 2012;7:641-52. doi: 10.2147/COPD.S28250. Epub 2012 Sep 21.,Ito K,Int J Chron Obstruct Pulmon Dis,2012,2012/10/12,PMC3459652,,10.2147/COPD.S28250,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c7/98/PMC3459652.tar.gz,Match Found,,
35351545,Sweet tea (Rubus Suavissmus S. Lee) polysaccharides promote the longevity of Caenorhabditis elegans through autophagy-dependent insulin and mitochondrial pathways,"Liu M, Li N, Lu X, Shan S, Gao X, Cao Y, Lu W.",Int J Biol Macromol. 2022 May 15;207:883-892. doi: 10.1016/j.ijbiomac.2022.03.138. Epub 2022 Mar 26.,Liu M,Int J Biol Macromol,2022,2022/3/30,,,10.1016/j.ijbiomac.2022.03.138,,Failed,,No download link found: 10.1016/j.ijbiomac.2022.03.138
39666139,Downregulation of the NF-κB protein p65 is a shared phenotype among most anti-aging interventions,"Elmansi AM, Kassem A, Castilla RM, Miller RA.",Geroscience. 2025 Jun;47(3):3077-3094. doi: 10.1007/s11357-024-01466-9. Epub 2024 Dec 12.,Elmansi AM,Geroscience,2025,2024/12/12,PMC12181462,,10.1007/s11357-024-01466-9,,Failed,,No download link found: 10.1007/s11357-024-01466-9
34429692,"D-Allose, a Stereoisomer of D-Glucose, Extends the Lifespan of Caenorhabditis elegans via Sirtuin and Insulin Signaling","Shintani T, Sakoguchi H, Yoshihara A, Izumori K, Sato M.",J Appl Glycosci (1999). 2019 Nov 20;66(4):139-142. doi: 10.5458/jag.jag.JAG-2019_0010. eCollection 2019.,Shintani T,J Appl Glycosci (1999),2019,2021/8/25,PMC8367639,,10.5458/jag.jag.JAG-2019_0010,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/58/86/PMC8367639.tar.gz,Match Found,,
22484922,Anti-aging effects of hesperidin on Saccharomyces cerevisiae via inhibition of reactive oxygen species and UTH1 gene expression,"Sun K, Xiang L, Ishihara S, Matsuura A, Sakagami Y, Qi J.",Biosci Biotechnol Biochem. 2012;76(4):640-5. doi: 10.1271/bbb.110535. Epub 2012 Apr 7.,Sun K,Biosci Biotechnol Biochem,2012,2012/4/10,,,10.1271/bbb.110535,,Success,PMID22484922.pdf,
36172739,Hawthorn fruit extract ameliorates H(2)O(2)-induced oxidative damage in neuronal PC12 cells and prolongs the lifespan of Caenorhabditis elegans via the IIS signaling pathway,"Wang X, Li X, Li L, Yang X, Wang J, Liu X, Chen J, Liu S, Zhang N, Li J, Wang H.",Food Funct. 2022 Oct 17;13(20):10680-10694. doi: 10.1039/d2fo01657e.,Wang X,Food Funct,2022,2022/9/29,,,10.1039/d2fo01657e,,Failed,,No download link found: 10.1039/d2fo01657e
38929123,"Arctigenin from Fructus arctii Exhibits Antiaging Effects via Autophagy Induction, Antioxidative Stress, and Increase in Telomerase Activity in Yeast","Chen S, Li Y, Wu E, Li Q, Xiang L, Qi J.",Antioxidants (Basel). 2024 Jun 2;13(6):684. doi: 10.3390/antiox13060684.,Chen S,Antioxidants (Basel),2024,2024/6/27,PMC11200627,,10.3390/antiox13060684,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/0b/d9/PMC11200627.tar.gz,Match Found,,
31847478,Study of the Effect of Neutral Polysaccharides from Rehmannia glutinosa on Lifespan of Caenorhabditis elegans,"Yuan Y, Kang N, Li Q, Zhang Y, Liu Y, Tan P.",Molecules. 2019 Dec 15;24(24):4592. doi: 10.3390/molecules24244592.,Yuan Y,Molecules,2019,2019/12/19,PMC6943622,,10.3390/molecules24244592,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b5/1f/PMC6943622.tar.gz,Match Found,,
40268010,Regulation and mechanism of Bletilla striata polysaccharide on delaying aging in Drosophila melanogaster,"Hafeez E, Du D, Ni H, Zhu K, Hu F, Zhou J, Chen D.",Int J Biol Macromol. 2025 May;310(Pt 3):143382. doi: 10.1016/j.ijbiomac.2025.143382. Epub 2025 Apr 21.,Hafeez E,Int J Biol Macromol,2025,2025/4/23,,,10.1016/j.ijbiomac.2025.143382,,Failed,,No download link found: 10.1016/j.ijbiomac.2025.143382
36355546,2-Butoxytetrahydrofuran and Palmitic Acid from Holothuria scabra Enhance C. elegans Lifespan and Healthspan via DAF-16/FOXO and SKN-1/NRF2 Signaling Pathways,"Jattujan P, Srisirirung S, Watcharaporn W, Chumphoochai K, Kraokaew P, Sanguanphun T, Prasertsuksri P, Thongdechsri S, Sobhon P, Meemon K.",Pharmaceuticals (Basel). 2022 Nov 9;15(11):1374. doi: 10.3390/ph15111374.,Jattujan P,Pharmaceuticals (Basel),2022,2022/11/10,PMC9699485,,10.3390/ph15111374,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/9c/cd/PMC9699485.tar.gz,Match Found,,
31612532,Saponin-rich extracts from Holothuria leucospilota mediate lifespan extension and stress resistance in Caenorhabditis elegans via daf-16,"Kitisin T, Suphamungmee W, Meemon K.",J Food Biochem. 2019 Dec;43(12):e13075. doi: 10.1111/jfbc.13075. Epub 2019 Oct 14.,Kitisin T,J Food Biochem,2019,2019/10/16,,,10.1111/jfbc.13075,,Success,PMID31612532.pdf,
