Compound,Life_extended,CAS Number,SMILES,PubChem_Name,PubChem_CID
,0,,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,"9-chloro-2-(furan-2-yl)-[1,2,4]triazolo[1,5-c]quinazolin-5-amine",2690.0
,0,,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,"8-chloro-3-methyl-5-phenyl-1,2,4,5-tetrahydro-3-benzazepin-7-ol",5018.0
,0,,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,"3-(2-chloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",2801.0
,0,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",2726.0
,0,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2-chloro-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine,4917.0
,0,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethanol,4748.0
,0,,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,"5,6-dichloro-3-ethyl-1H-benzimidazol-2-one",656765.0
,0,,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,"N'-acetyl-3-chloro-6H-benzo[b][1,4]benzoxazepine-5-carbohydrazide",4336830.0
,0,,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2,"6-chloro-5-methyl-N-quinolin-5-yl-2,3-dihydroindole-1-carboxamide",10449757.0
,0,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,"7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide",4170.0
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,"3-(2-bicyclo[2.2.1]hept-5-enyl)-6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",2910.0
,0,,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O,"2-(5,6-dichloro-1H-benzimidazol-2-yl)-5-(hydroxymethyl)oxolane-3,4-diol",73153251.0
,0,,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,7-chloro-4-oxo-1H-quinoline-2-carboxylic acid,1884.0
,0,,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O,"6,7-dichloro-1,4-dihydroquinoxaline-2,3-dione",1845.0
,0,,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,7-chloro-4-hydroxy-3-(3-phenoxyphenyl)-1H-quinolin-2-one,54682505.0
,0,,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,6-chloro-3-[1-[3-(2-oxo-3H-benzimidazol-1-yl)propyl]piperidin-4-yl]-1H-benzimidazol-2-one,3151.0
,0,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,"3-chloro-6-(4-methylpiperazin-1-yl)-11H-benzo[b][1,4]benzodiazepine",135398737.0
,0,,O=c1[nH]c2cc(Cl)ccc2o1,"5-chloro-3H-1,3-benzoxazol-2-one",2733.0
,0,,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,2-[4-(7-chloroquinoxalin-2-yl)oxyphenoxy]propanoic acid,148183.0
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,"6-chloro-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",2720.0
,0,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine",2719.0
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",3639.0
,0,,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,"7-chloro-3-methyl-4H-1lambda6,2,4-benzothiadiazine 1,1-dioxide",3019.0
,0,,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O,[2-[(2-chloro-5-nitrophenyl)diazenyl]-4-formyl-5-hydroxy-6-methylpyridin-3-yl]methyl dihydrogen phosphate,135405867.0
,0,,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,2-chloro-5-nitro-N-phenylbenzamide,644213.0
,0,,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,5-(4-chlorophenyl)-1-(4-methoxyphenyl)-3-(trifluoromethyl)pyrazole,4306515.0
,0,,O=C(O)C=CC(O)c1ccc(Cl)cc1,4-(4-chlorophenyl)-4-hydroxybut-2-enoic acid,3327269.0
,0,,NCC(CC(=O)O)c1ccc(Cl)cc1,4-amino-3-(4-chlorophenyl)butanoic acid,2284.0
,0,,NCC(CP(=O)(O)O)c1ccc(Cl)cc1,[3-amino-2-(4-chlorophenyl)propyl]phosphonic acid,1641.0
,0,,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,"2-(4-chlorophenyl)-3-methyl-1,1-dioxo-1,3-thiazinan-4-one",2717.0
,0,,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,3-(4-chlorophenyl)-N-(3-methoxyphenyl)prop-2-enamide,4099413.0
,0,,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1,N-(1-azabicyclo[2.2.2]octan-3-yl)-4-chlorobenzamide,4655349.0
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,3715.0
,0,,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,3-amino-2-(4-chlorophenyl)-2-hydroxypropane-1-sulfonic acid,1564.0
,0,,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,2-[2-[1-(4-chlorophenyl)-1-phenylethoxy]ethyl]-1-methylpyrrolidine,2781.0
,0,,NC(Cc1ccc(Cl)cc1)C(=O)O,2-amino-3-(4-chlorophenyl)propanoic acid,4652.0
,0,,COC(=O)C(N)Cc1ccc(Cl)cc1,methyl 2-amino-3-(4-chlorophenyl)propanoate,26532.0
,0,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,4-(4-chlorophenyl)-1-(1H-indol-3-ylmethyl)piperidin-4-ol,133633.0
,0,,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",3955.0
,0,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,3559.0
,0,,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,[1-(4-chlorophenyl)-2-methylpropan-2-yl] 2-aminopropanoate,2081.0
,0,,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,"N-[2-(4-chlorophenyl)ethyl]-7,8-dihydroxy-1,3,4,5-tetrahydro-2-benzazepine-2-carbothioamide",2733484.0
,0,,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,"3-[3-tert-butylsulfanyl-1-[(4-chlorophenyl)methyl]-5-propan-2-ylindol-2-yl]-2,2-dimethylpropanoic acid",3651377.0
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1,2-[1-[(4-chlorophenyl)methyl]-5-methoxy-2-methylindol-3-yl]acetic acid,4059895.0
,0,,CN(C)CCOC(=O)COc1ccc(Cl)cc1,2-(dimethylamino)ethyl 2-(4-chlorophenoxy)acetate,4039.0
,0,,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1-(4-chlorophenyl)sulfonyl-3-propylurea,2727.0
,0,,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O,"6-[6-amino-8-(4-chlorophenyl)sulfanylpurin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",1904.0
,0,,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,"N-(2,6-dichlorophenyl)-N-prop-2-enyl-4,5-dihydro-1H-imidazol-2-amine",36354.0
,0,,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1,"N-(2,6-dichlorophenyl)-N-[(4-fluorophenyl)methyl]-4,5-dihydro-1H-imidazol-2-amine",6603884.0
,0,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",3033.0
,0,,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,N-butan-2-yl-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide,1345.0
,0,,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",4211.0
,0,,CC(C)(C)NCC(O)c1ccccc1Cl,2-(tert-butylamino)-1-(2-chlorophenyl)ethanol,5606.0
,0,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,2812.0
,0,,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,3-amino-6-chloro-N-(diaminomethylidene)-5-[ethyl(propan-2-yl)amino]pyrazine-2-carboxamide,1795.0
,0,,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,3-amino-6-chloro-N-(diaminomethylidene)-5-(dimethylamino)pyrazine-2-carboxamide,1793.0
,0,,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,3-amino-6-chloro-N-(diaminomethylidene)-5-[methyl(2-methylpropyl)amino]pyrazine-2-carboxamide,73314.0
,0,,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,3-amino-5-(azepan-1-yl)-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide,1794.0
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-amino-2-chloropurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",235481.0
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,"[[5-(6-amino-2-chloropurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",1549.0
,0,,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,"1-amino-4-[4-[[4-chloro-6-(3-sulfoanilino)-1,3,5-triazin-2-yl]amino]-3-sulfoanilino]-9,10-dioxoanthracene-2-sulfonic acid",656725.0
,0,,COc1nc(C)nc(Cl)c1NC1=NCCN1,"4-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-6-methoxy-2-methylpyrimidin-5-amine",4810.0
,0,,Clc1nccc2c1ccc1ccccc12,4-chlorobenzo[f]isoquinoline,11401613.0
,0,,Clc1ccc(N2CC3CCC(C2)N3)nn1,"3-(6-chloropyridazin-3-yl)-3,8-diazabicyclo[3.2.1]octane",6412645.0
,0,,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1,benzyl N-(4-chloro-3-oxo-1-phenylbutan-2-yl)carbamate,291704.0
,0,,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1,N-(4-chloro-3-oxo-1-phenylbutan-2-yl)-4-methylbenzenesulfonamide,9824.0
,0,,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1,N-(7-amino-1-chloro-2-oxoheptan-3-yl)-4-methylbenzenesulfonamide,4427.0
,0,,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,N-benzyl-N-(2-chloroethyl)-1-phenoxypropan-2-amine,4768.0
,0,,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,4053.0
,0,,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,2708.0
,0,,CC(=O)OCCN(C)CCCl,2-[2-chloroethyl(methyl)amino]ethyl acetate,93191.0
,0,,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-1-(2-chloroethyl)-1-nitrosourea,39214.0
,0,,O=NN(CCCl)C(=O)NCCCl,"1,3-bis(2-chloroethyl)-1-nitrosourea",2578.0
,0,,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1,"6-(2,4-dinitrophenoxy)-5-fluoro-2-(hydroxymethyl)oxane-3,4-diol",4145310.0
,0,,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1,"3-[[3,5-bis(trifluoromethyl)phenyl]methoxy]-2-phenylpiperidine",4302965.0
,0,,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[3,5-bis(trifluoromethyl)phenyl]methyl 2-acetamido-3-(1H-indol-3-yl)propanoate",3563638.0
,0,,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,"5,5-dimethyl-3-[4-nitro-3-(trifluoromethyl)phenyl]imidazolidine-2,4-dione",4493.0
,0,,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,3-[2-hydroxy-5-(trifluoromethyl)phenyl]-6-(trifluoromethyl)-1H-benzimidazol-2-one,4552.0
,0,,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,3397.0
,0,,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,2-[3-(trifluoromethyl)anilino]pyridine-3-carboxylic acid,4488.0
,0,,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,"4-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)pyrrolo[1,2-a]quinoxaline",2689.0
,0,,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,2-[[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,3404.0
,0,,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12,"3-methyl-7-[4-(trifluoromethyl)phenyl]-[1,2,4]triazolo[4,3-b]pyridazine",6603922.0
,0,,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,"5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide",3899.0
,0,,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,2-[methyl-[3-phenyl-3-[4-(trifluoromethyl)phenoxy]propyl]amino]acetic acid,10044847.0
,0,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,3386.0
,0,,FC(F)(F)c1ccccc1-n1ccnc1,1-[2-(trifluoromethyl)phenyl]imidazole,1359.0
,0,,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,"methyl 2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate",2303.0
,0,,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,2-hydroxy-5-[2-[[2-hydroxy-3-[4-[1-methyl-4-(trifluoromethyl)imidazol-2-yl]phenoxy]propyl]amino]ethoxy]benzamide,2685.0
,0,,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide",3356.0
,0,,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,3-[4-(difluoromethoxy)-3-methoxyphenyl]-1H-pyridazin-6-one,5723.0
,0,,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,"1-(3,4-dihydroxy-5-methyloxolan-2-yl)-5-fluoropyrimidine-2,4-dione",3159.0
,0,,O=c1[nH]cc(F)c(=O)[nH]1,"5-fluoro-1H-pyrimidine-2,4-dione",3385.0
,0,,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,"9-fluoro-11,16,17-trihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",5544.0
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,"9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",3003.0
,0,,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,"7-(dipropylamino)-4-fluoro-5,6,7,8-tetrahydronaphthalen-1-ol",5122.0
,0,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,"1-ethyl-6,8-difluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",3948.0
,0,,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1,"[2-[2-[3-(1H-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1H-naphthalen-2-yl] cyclopropanecarboxylate",22447551.0
,0,,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,"N-(3-fluoro-5-pyridin-3-ylphenyl)-5-methoxy-6-(trifluoromethyl)-2,3-dihydroindole-1-carboxamide",443390.0
,0,,Fc1cccc(C=NN=Cc2cccc(F)c2)c1,1-(3-fluorophenyl)-N-[(3-fluorophenyl)methylideneamino]methanimine,2378095.0
,0,,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,"ethyl 8-fluoro-5-methyl-6-oxo-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate",3373.0
,0,,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,"[2-[2-[3-(1H-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1H-naphthalen-2-yl] 2-methoxyacetate",5230270.0
,0,,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",4583.0
,0,,O=C(O)c1cc2cc(F)ccc2[nH]1,5-fluoro-1H-indole-2-carboxylic acid,1820.0
,0,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,"3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one",5073.0
,0,,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,"2-[2-(4-fluorophenyl)-1H-indol-3-yl]-N,N-dihexylacetamide",132496.0
,0,,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,4-[4-(4-fluorophenyl)-2-(4-nitrophenyl)-1H-imidazol-5-yl]pyridine,4712.0
,0,,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",4691.0
,0,,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,"3-[2-[4-(4-fluorobenzoyl)piperidin-1-yl]ethyl]-2-methylpyrido[1,2-a]pyrimidin-4-one",4847.0
,0,,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,"1-[2-[4-(4-fluorobenzoyl)piperidin-1-yl]ethyl]-3,3-dimethylindol-2-one",4282258.0
,0,,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,"3-[1-[4-(4-fluorophenyl)-4-oxobutyl]-3,6-dihydro-2H-pyridin-4-yl]-1H-benzimidazol-2-one",3168.0
,0,,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,4-fluoro-N-[2-[4-(2-methoxyphenyl)piperazin-1-yl]ethyl]-N-pyridin-2-ylbenzamide,6603915.0
,0,,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"3-[1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl]-1H-benzimidazol-2-one",16362.0
,0,,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,"8-[4,4-bis(4-fluorophenyl)butyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",3396.0
,0,,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,3-[bis(4-fluorophenyl)methoxy]-8-butyl-8-azabicyclo[3.2.1]octane,16759249.0
,0,,NC(Cc1ccc(F)cc1)C(=O)O,2-amino-3-(4-fluorophenyl)propanoic acid,4654.0
,0,,NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1,"4-[3-[4-(4-fluorophenyl)-3,6-dihydro-2H-pyridin-1-yl]-2-hydroxypropoxy]benzamide",9799515.0
,0,,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,4-[4-(4-fluorophenyl)-5-pyridin-4-yl-1H-imidazol-2-yl]phenol,5169.0
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,2-[1-[(4-fluorophenyl)methyl]-5-methoxy-2-methylindol-3-yl]acetic acid,3448892.0
,0,,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,ethyl N-[2-amino-6-[(4-fluorophenyl)methylamino]pyridin-3-yl]carbamate,53276.0
,0,,Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12,"3-N-(4-fluorophenyl)-2H-pyrazolo[3,4-d]pyrimidine-3,4-diamine",11644425.0
,0,,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,1-[4-[3-(4-fluorophenoxy)phenyl]but-3-en-2-yl]-1-hydroxyurea,2491.0
,0,,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,"(3,4-dihydroxy-5-nitrophenyl)-(2-fluorophenyl)methanone",3495594.0
,0,,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1,"1-(5-iodonaphthalen-1-yl)sulfonyl-1,4-diazepane",4216.0
,0,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,"(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone",2157.0
,0,,COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,"2-(3,4-dihydroxybenzoyl)-3-(4-hydroxy-3-iodo-5-methoxyphenyl)prop-2-enenitrile",3725.0
,0,,NC(N)=NCc1cccc(I)c1,2-[(3-iodophenyl)methyl]guanidine,60860.0
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,"5-[2-chloro-6-[(3-iodophenyl)methylamino]purin-9-yl]-3,4-dihydroxy-N-methyloxolane-2-carboxamide",393593.0
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,"3,4-dihydroxy-5-[6-[(3-iodophenyl)methylamino]purin-9-yl]-N-methyloxolane-2-carboxamide",3668.0
,0,,NC(Cc1ccc(O)c(I)c1)C(=O)O,2-amino-3-(4-hydroxy-3-iodophenyl)propanoic acid,6272.0
,0,,COc1cc(CC(C)N)c(OC)cc1I,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine",1229.0
,0,,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,"3-[(3,5-dibromo-4-hydroxyphenyl)methylidene]-5-iodo-1H-indol-2-one",5034.0
,0,,CC(C)NC(C)Cc1ccc(I)cc1,1-(4-iodophenyl)-N-propan-2-ylpropan-2-amine,3729.0
,0,,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,2-benzhydryl-N-[(2-iodophenyl)methyl]-1-azabicyclo[2.2.2]octan-3-amine,3851.0
,0,,NC(=O)CI,2-iodoacetamide,3727.0
,0,,C#CCNC(C)Cc1ccccc1,1-phenyl-N-prop-2-ynylpropan-2-amine,200718.0
,0,,CCc1cccc(N(C)C(N)=Nc2cccc3ccccc23)c1,1-(3-ethylphenyl)-1-methyl-2-naphthalen-1-ylguanidine,60840.0
,0,,CC(N)=NCc1cccc(CN)c1,N'-[[3-(aminomethyl)phenyl]methyl]ethanimidamide,1433.0
,0,,NC(N)=NC(N)=Nc1ccccc1,1-(diaminomethylidene)-2-phenylguanidine,4780.0
,0,,CNC1(C)C2CCC(C2)C1(C)C,"N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine",4032.0
,0,,C#CCN(C)Cc1ccccc1,N-benzyl-N-methylprop-2-yn-1-amine,4688.0
,0,,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine",2895.0
,0,,CN(C)CCC=C1c2ccccc2CCc2ccccc21,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",2160.0
,0,,CNCCCCCNCCC1CC2CCCC(C2)C1,"N'-[2-(3-bicyclo[3.3.1]nonanyl)ethyl]-N-methylpentane-1,5-diamine",11957561.0
,0,,CNCCCC1c2ccccc2C=Cc2ccccc21,"N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenyl)propan-1-amine",4976.0
,0,,NC(N)=NCCCCN=C(N)N,2-[4-(diaminomethylideneamino)butyl]guanidine,2227.0
